grade_section,gwa,remarks
GRADE 1 - ATIS,84,SATISFACTORY
GRADE 1 - ATIS,82,SATISFACTORY
GRADE 1 - ATIS,79,FAIRLY SATISFACTORY
GRADE 1 - ATIS,77,FAIRLY SATISFACTORY
GRADE 1 - ATIS,77,FAIRLY SATISFACTORY
GRADE 1 - ATIS,79,FAIRLY SATISFACTORY
GRADE 1 - ATIS,77,FAIRLY SATISFACTORY
GRADE 1 - ATIS,84,SATISFACTORY
GRADE 1 - ATIS,81,SATISFACTORY
GRADE 1 - ATIS,82,SATISFACTORY
GRADE 1 - ATIS,83,SATISFACTORY
GRADE 1 - ATIS,79,FAIRLY SATISFACTORY
GRADE 1 - ATIS,81,SATISFACTORY
GRADE 1 - ATIS,78,FAIRLY SATISFACTORY
GRADE 1 - ATIS,83,SATISFACTORY
GRADE 1 - ATIS,81,SATISFACTORY
GRADE 1 - ATIS,78,FAIRLY SATISFACTORY
GRADE 1 - ATIS,82,SATISFACTORY
GRADE 1 - ATIS,88,VERY SATISFACTORY
GRADE 1 - ATIS,80,SATISFACTORY
GRADE 1 - ATIS,80,SATISFACTORY
GRADE 1 - ATIS,83,SATISFACTORY
GRADE 1 - ATIS,81,SATISFACTORY
GRADE 1 - ATIS,79,FAIRLY SATISFACTORY
GRADE 1 - ATIS,82,SATISFACTORY
GRADE 1 - ATIS,81,SATISFACTORY
GRADE 1 - ATIS,82,SATISFACTORY
GRADE 1 - ATIS,84,SATISFACTORY
GRADE 1 - ATIS,80,SATISFACTORY
GRADE 1 - ATIS,79,FAIRLY SATISFACTORY
GRADE 1 - CHICO,90,OUTSTANDING
GRADE 1 - CHICO,86,VERY SATISFACTORY
GRADE 1 - CHICO,85,VERY SATISFACTORY
GRADE 1 - CHICO,87,VERY SATISFACTORY
GRADE 1 - CHICO,87,VERY SATISFACTORY
GRADE 1 - CHICO,87,VERY SATISFACTORY
GRADE 1 - CHICO,84,SATISFACTORY
GRADE 1 - CHICO,89,VERY SATISFACTORY
GRADE 1 - CHICO,89,VERY SATISFACTORY
GRADE 1 - CHICO,87,VERY SATISFACTORY
