student_id,subject,grade,quarter
20245444,Mother Tongue 1,90,3rd
20247114,Mother Tongue 1,84,2nd
20246056,Mother Tongue 1,86,3rd
20249547,Mother Tongue 1,86,4th
20243933,Mother Tongue 1,88,4th
20249483,Mother Tongue 1,81,3rd
20246233,Mother Tongue 1,89,1st
20248593,Mother Tongue 1,87,4th
20243703,Mother Tongue 1,86,4th
20246039,Mother Tongue 1,81,2nd
20248365,Mother Tongue 1,90,4th
20243752,Mother Tongue 1,87,3rd
20243328,Mother Tongue 1,81,1st
20243703,Mother Tongue 1,84,2nd
20241380,Mother Tongue 1,89,2nd
20242966,Mother Tongue 1,82,4th
20248919,Mother Tongue 1,94,1st
20243380,Mother Tongue 1,82,3rd
20240085,Mother Tongue 1,89,1st
20244940,Mother Tongue 1,82,2nd
20247557,Mother Tongue 1,90,1st
20245641,Mother Tongue 1,88,2nd
20240085,Mother Tongue 1,88,2nd
20243380,Mother Tongue 1,79,2nd
20243752,Mother Tongue 1,88,2nd
20249547,Mother Tongue 1,84,1st
20243398,Mother Tongue 1,87,4th
20247114,Mother Tongue 1,88,3rd
20248593,Mother Tongue 1,87,2nd
20246039,Mother Tongue 1,79,3rd
20244098,Mother Tongue 1,86,3rd
20241380,Mother Tongue 1,90,4th
20245872,Mother Tongue 1,92,2nd
20249217,Mother Tongue 1,76,1st
20245444,Mother Tongue 1,94,4th
20240832,Mother Tongue 1,80,2nd
20243562,Mother Tongue 1,83,3rd
20243938,Mother Tongue 1,87,3rd
20249217,Mother Tongue 1,82,3rd
20242966,Mother Tongue 1,78,1st
20246056,Mother Tongue 1,85,1st
20246233,Mother Tongue 1,89,3rd
20244940,Mother Tongue 1,80,1st
20248825,Mother Tongue 1,94,4th
20246233,Mother Tongue 1,87,2nd
20243938,Mother Tongue 1,79,1st
20248365,Mother Tongue 1,87,1st
20244829,Mother Tongue 1,84,4th
20243752,Mother Tongue 1,88,1st
20244098,Mother Tongue 1,84,1st
20242966,Mother Tongue 1,77,2nd
20240085,Mother Tongue 1,91,4th
20241437,Mother Tongue 1,84,3rd
20248365,Mother Tongue 1,89,2nd
20246056,Mother Tongue 1,86,2nd
20243562,Mother Tongue 1,85,4th
20246039,Mother Tongue 1,82,1st
20247808,Mother Tongue 1,89,3rd
20244098,Mother Tongue 1,86,2nd
20243938,Mother Tongue 1,82,2nd
20249547,Mother Tongue 1,86,2nd
20249217,Mother Tongue 1,84,4th
20242619,Mother Tongue 1,87,1st
20243562,Mother Tongue 1,80,1st
20247557,Mother Tongue 1,89,2nd
20246056,Mother Tongue 1,89,4th
20248365,Mother Tongue 1,86,3rd
20248952,Mother Tongue 1,88,2nd
20243703,Mother Tongue 1,85,3rd
20243933,Mother Tongue 1,82,1st
20249217,Mother Tongue 1,79,2nd
20248593,Mother Tongue 1,85,1st
20243398,Mother Tongue 1,87,3rd
20243328,Mother Tongue 1,85,4th
20245872,Mother Tongue 1,90,1st
20243562,Mother Tongue 1,79,2nd
20247808,Mother Tongue 1,90,2nd
20247114,Mother Tongue 1,83,1st
20241437,Mother Tongue 1,85,4th
20242150,Mother Tongue 1,85,1st
20242619,Mother Tongue 1,89,4th
20245641,Mother Tongue 1,90,3rd
20244829,Mother Tongue 1,80,3rd
20248593,Mother Tongue 1,83,3rd
20249483,Mother Tongue 1,82,1st
20245872,Mother Tongue 1,92,3rd
20247808,Mother Tongue 1,88,1st
20243328,Mother Tongue 1,82,3rd
20240832,Mother Tongue 1,83,4th
20243380,Mother Tongue 1,80,1st
20242069,Mother Tongue 1,78,1st
20243398,Mother Tongue 1,87,2nd
20243752,Mother Tongue 1,85,4th
20244940,Mother Tongue 1,81,3rd
20248919,Mother Tongue 1,90,3rd
20248825,Mother Tongue 1,91,1st
20245872,Mother Tongue 1,95,4th
20242150,Mother Tongue 1,86,4th
20242069,Mother Tongue 1,75,4th
20242150,Mother Tongue 1,88,2nd
20245641,Mother Tongue 1,87,1st
20243933,Mother Tongue 1,85,3rd
20248919,Mother Tongue 1,92,2nd
20242069,Mother Tongue 1,77,2nd
20246233,Mother Tongue 1,90,4th
20247557,Mother Tongue 1,93,4th
20248919,Mother Tongue 1,91,4th
20240832,Mother Tongue 1,83,3rd
20249547,Mother Tongue 1,87,3rd
20249483,Mother Tongue 1,87,2nd
20248952,Mother Tongue 1,88,1st
20242150,Mother Tongue 1,88,3rd
20240085,Mother Tongue 1,89,3rd
20241380,Mother Tongue 1,89,3rd
20242069,Mother Tongue 1,77,3rd
20247808,Mother Tongue 1,87,4th
20243328,Mother Tongue 1,83,2nd
20244940,Mother Tongue 1,80,4th
20249483,Mother Tongue 1,80,4th
20243933,Mother Tongue 1,85,2nd
20245641,Mother Tongue 1,87,4th
20244829,Mother Tongue 1,82,2nd
20243938,Mother Tongue 1,87,4th
20241437,Mother Tongue 1,85,1st
